bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
PAIS3-,0.0,0.0,0.0,0.0,249135.30969430043,663285.383079832
PAIS1T,0.0,0.0,0.0,0.0,249135.30969430043,663285.383079832
PAIS1S,0.0,0.0,0.0,0.0,249135.30969430043,663285.383079832
PAIS1R,0.0,0.0,0.0,0.0,249135.30969430043,663285.383079832
PEHE1-,0.0,0.0,0.0,0.0,413024.8599174226,846433.601134365
PAIS1Q,0.0,0.0,0.0,0.0,249135.30969430043,663285.383079832
PAFB4B,0.0,0.0,0.0,0.0,399703.597186825,170906.30382508266
PAFB4A,0.0,0.0,0.0,0.0,399703.597186825,170906.30382508266
PADI41,0.0,0.0,0.0,0.0,378528.13431813865,433183.4281999809
PADI11,0.0,0.0,0.0,0.0,378528.13431813865,433183.4281999809
OSBA41,0.0,0.0,0.0,0.0,464120.05482959194,451586.5374772877
PART1R,0.0,0.0,0.0,0.0,255171.34858812176,666465.5825678419
OSBA11,0.0,0.0,0.0,0.0,464120.05482959194,451586.5374772877
ORRI5-,0.0,0.0,0.0,0.0,243553.49821102398,854532.245604618
ALVE4B,0.0,0.0,0.0,0.0,250135.03434795418,125098.29423627807
ORRI1T,0.0,0.0,0.0,0.0,243553.49821102398,854532.245604618
ORRI1S,0.0,0.0,0.0,0.0,243553.49821102398,854532.245604618
ORRI1R,0.0,0.0,0.0,0.0,243553.49821102398,854532.245604618
ORRI1Q,0.0,0.0,0.0,0.0,243553.49821102398,854532.245604618
NORM11,0.0,0.0,0.0,0.0,621798.4090255044,302297.79683950107
ORMW32,0.0,0.0,0.0,0.0,306101.7472121746,466741.8095958134
ORMW31,0.0,0.0,0.0,0.0,306101.7472121746,466741.8095958134
ORMW11,0.0,0.0,0.0,0.0,306101.7472121746,466741.8095958134
NORM12,0.0,0.0,0.0,0.0,621798.4090255044,302297.79683950107
BEIN31,0.0,0.0,0.0,0.0,220441.97174059693,804419.02467447
NORL31,0.0,0.0,0.0,0.0,435383.2058039697,383793.35087556316
NEIL4R,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
NEIL2D,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
